Repeat,mRate,EPC_MorseA,TempNoise,RunID,TrialName
R_3,1e-7,0.9,0.5,ID_103,Morse
R_4,1e-7,0.9,0.5,ID_104,Morse
R_5,1e-7,0.9,0.5,ID_105,Morse
R_6,1e-7,0.9,0.5,ID_106,Morse
R_7,1e-7,0.9,0.5,ID_107,Morse
R_8,1e-7,0.9,0.5,ID_108,Morse
R_9,1e-7,0.9,0.5,ID_109,Morse
R_10,1e-7,0.9,0.5,ID_110,Morse
R_11,1e-7,0.9,0.5,ID_111,Morse
R_12,1e-7,0.9,0.5,ID_112,Morse
R_13,1e-7,0.9,0.5,ID_113,Morse
R_14,1e-7,0.9,0.5,ID_114,Morse
R_15,1e-7,0.9,0.5,ID_115,Morse
R_16,1e-7,0.9,0.5,ID_116,Morse
R_17,1e-7,0.9,0.5,ID_117,Morse
R_18,1e-7,0.9,0.5,ID_118,Morse
R_19,1e-7,0.9,0.5,ID_119,Morse
R_20,1e-7,0.9,0.5,ID_120,Morse
R_21,1e-7,0.9,0.5,ID_121,Morse
R_22,1e-7,0.9,0.5,ID_122,Morse
R_23,1e-7,0.9,0.5,ID_123,Morse
R_24,1e-7,0.9,0.5,ID_124,Morse
R_25,1e-7,0.9,0.5,ID_125,Morse
R_26,1e-7,0.9,0.5,ID_126,Morse
R_27,1e-7,0.9,0.5,ID_127,Morse
R_28,1e-7,0.9,0.5,ID_128,Morse
R_29,1e-7,0.9,0.5,ID_129,Morse
R_30,1e-7,0.9,0.5,ID_130,Morse
R_31,1e-7,0.9,0.5,ID_131,Morse
R_32,1e-7,0.9,0.5,ID_132,Morse
R_33,1e-7,0.9,0.5,ID_133,Morse
R_34,1e-7,0.9,0.5,ID_134,Morse
R_35,1e-7,0.9,0.5,ID_135,Morse
R_36,1e-7,0.9,0.5,ID_136,Morse
R_37,1e-7,0.9,0.5,ID_137,Morse
R_38,1e-7,0.9,0.5,ID_138,Morse
R_39,1e-7,0.9,0.5,ID_139,Morse
R_40,1e-7,0.9,0.5,ID_140,Morse
R_41,1e-7,0.9,0.5,ID_141,Morse
R_42,1e-7,0.9,0.5,ID_142,Morse
R_43,1e-7,0.9,0.5,ID_143,Morse
R_44,1e-7,0.9,0.5,ID_144,Morse
R_45,1e-7,0.9,0.5,ID_145,Morse
R_46,1e-7,0.9,0.5,ID_146,Morse
R_47,1e-7,0.9,0.5,ID_147,Morse
R_48,1e-7,0.9,0.5,ID_148,Morse
R_49,1e-7,0.9,0.5,ID_149,Morse
R_50,1e-7,0.9,0.5,ID_150,Morse
R_51,1e-7,0.9,0.5,ID_151,Morse
R_52,1e-7,0.9,0.5,ID_152,Morse
R_53,1e-7,0.9,0.5,ID_153,Morse
R_54,1e-7,0.9,0.5,ID_154,Morse
R_55,1e-7,0.9,0.5,ID_155,Morse
R_56,1e-7,0.9,0.5,ID_156,Morse
R_57,1e-7,0.9,0.5,ID_157,Morse
R_58,1e-7,0.9,0.5,ID_158,Morse
R_59,1e-7,0.9,0.5,ID_159,Morse
R_60,1e-7,0.9,0.5,ID_160,Morse
R_61,1e-7,0.9,0.5,ID_161,Morse
R_62,1e-7,0.9,0.5,ID_162,Morse
R_63,1e-7,0.9,0.5,ID_163,Morse
R_64,1e-7,0.9,0.5,ID_164,Morse
R_65,1e-7,0.9,0.5,ID_165,Morse
R_66,1e-7,0.9,0.5,ID_166,Morse
R_67,1e-7,0.9,0.5,ID_167,Morse
R_68,1e-7,0.9,0.5,ID_168,Morse
R_69,1e-7,0.9,0.5,ID_169,Morse
R_70,1e-7,0.9,0.5,ID_170,Morse
R_71,1e-7,0.9,0.5,ID_171,Morse
R_72,1e-7,0.9,0.5,ID_172,Morse
R_73,1e-7,0.9,0.5,ID_173,Morse
R_74,1e-7,0.9,0.5,ID_174,Morse
R_75,1e-7,0.9,0.5,ID_175,Morse
R_76,1e-7,0.9,0.5,ID_176,Morse
R_77,1e-7,0.9,0.5,ID_177,Morse
R_78,1e-7,0.9,0.5,ID_178,Morse
R_79,1e-7,0.9,0.5,ID_179,Morse
R_80,1e-7,0.9,0.5,ID_180,Morse
R_81,1e-7,0.9,0.5,ID_181,Morse
R_82,1e-7,0.9,0.5,ID_182,Morse
R_83,1e-7,0.9,0.5,ID_183,Morse
R_84,1e-7,0.9,0.5,ID_184,Morse
R_85,1e-7,0.9,0.5,ID_185,Morse
R_86,1e-7,0.9,0.5,ID_186,Morse
R_87,1e-7,0.9,0.5,ID_187,Morse
R_88,1e-7,0.9,0.5,ID_188,Morse
R_89,1e-7,0.9,0.5,ID_189,Morse
R_90,1e-7,0.9,0.5,ID_190,Morse
R_91,1e-7,0.9,0.5,ID_191,Morse
R_92,1e-7,0.9,0.5,ID_192,Morse
R_93,1e-7,0.9,0.5,ID_193,Morse
R_94,1e-7,0.9,0.5,ID_194,Morse
R_95,1e-7,0.9,0.5,ID_195,Morse
R_96,1e-7,0.9,0.5,ID_196,Morse
R_97,1e-7,0.9,0.5,ID_197,Morse
R_98,1e-7,0.9,0.5,ID_198,Morse
R_99,1e-7,0.9,0.5,ID_199,Morse
R_100,1e-7,0.9,0.5,ID_200,Morse
