Repeat,mRate,EPC_MorseA,TempNoise,RunID,TrialName
R_99,1e-7,-0.9,0.5,ID_99,A_Test
R_100,1e-7,-0.9,0.5,ID_100,A_Test
R_1,1e-7,-0.7,0.5,ID_101,A_Test
R_2,1e-7,-0.7,0.5,ID_102,A_Test
R_3,1e-7,-0.7,0.5,ID_103,A_Test
R_4,1e-7,-0.7,0.5,ID_104,A_Test
R_5,1e-7,-0.7,0.5,ID_105,A_Test
R_6,1e-7,-0.7,0.5,ID_106,A_Test
R_7,1e-7,-0.7,0.5,ID_107,A_Test
R_8,1e-7,-0.7,0.5,ID_108,A_Test
R_9,1e-7,-0.7,0.5,ID_109,A_Test
R_10,1e-7,-0.7,0.5,ID_110,A_Test
R_11,1e-7,-0.7,0.5,ID_111,A_Test
R_12,1e-7,-0.7,0.5,ID_112,A_Test
R_13,1e-7,-0.7,0.5,ID_113,A_Test
R_14,1e-7,-0.7,0.5,ID_114,A_Test
R_15,1e-7,-0.7,0.5,ID_115,A_Test
R_16,1e-7,-0.7,0.5,ID_116,A_Test
R_17,1e-7,-0.7,0.5,ID_117,A_Test
R_18,1e-7,-0.7,0.5,ID_118,A_Test
R_19,1e-7,-0.7,0.5,ID_119,A_Test
R_20,1e-7,-0.7,0.5,ID_120,A_Test
R_21,1e-7,-0.7,0.5,ID_121,A_Test
R_22,1e-7,-0.7,0.5,ID_122,A_Test
R_23,1e-7,-0.7,0.5,ID_123,A_Test
R_24,1e-7,-0.7,0.5,ID_124,A_Test
R_25,1e-7,-0.7,0.5,ID_125,A_Test
R_26,1e-7,-0.7,0.5,ID_126,A_Test
R_27,1e-7,-0.7,0.5,ID_127,A_Test
R_28,1e-7,-0.7,0.5,ID_128,A_Test
R_29,1e-7,-0.7,0.5,ID_129,A_Test
R_30,1e-7,-0.7,0.5,ID_130,A_Test
R_31,1e-7,-0.7,0.5,ID_131,A_Test
R_32,1e-7,-0.7,0.5,ID_132,A_Test
R_33,1e-7,-0.7,0.5,ID_133,A_Test
R_34,1e-7,-0.7,0.5,ID_134,A_Test
R_35,1e-7,-0.7,0.5,ID_135,A_Test
R_36,1e-7,-0.7,0.5,ID_136,A_Test
R_37,1e-7,-0.7,0.5,ID_137,A_Test
R_38,1e-7,-0.7,0.5,ID_138,A_Test
R_39,1e-7,-0.7,0.5,ID_139,A_Test
R_40,1e-7,-0.7,0.5,ID_140,A_Test
R_41,1e-7,-0.7,0.5,ID_141,A_Test
R_42,1e-7,-0.7,0.5,ID_142,A_Test
R_43,1e-7,-0.7,0.5,ID_143,A_Test
R_44,1e-7,-0.7,0.5,ID_144,A_Test
R_45,1e-7,-0.7,0.5,ID_145,A_Test
R_46,1e-7,-0.7,0.5,ID_146,A_Test
R_47,1e-7,-0.7,0.5,ID_147,A_Test
R_48,1e-7,-0.7,0.5,ID_148,A_Test
R_49,1e-7,-0.7,0.5,ID_149,A_Test
R_50,1e-7,-0.7,0.5,ID_150,A_Test
R_51,1e-7,-0.7,0.5,ID_151,A_Test
R_52,1e-7,-0.7,0.5,ID_152,A_Test
R_53,1e-7,-0.7,0.5,ID_153,A_Test
R_54,1e-7,-0.7,0.5,ID_154,A_Test
R_55,1e-7,-0.7,0.5,ID_155,A_Test
R_56,1e-7,-0.7,0.5,ID_156,A_Test
R_57,1e-7,-0.7,0.5,ID_157,A_Test
R_58,1e-7,-0.7,0.5,ID_158,A_Test
R_59,1e-7,-0.7,0.5,ID_159,A_Test
R_60,1e-7,-0.7,0.5,ID_160,A_Test
R_61,1e-7,-0.7,0.5,ID_161,A_Test
R_62,1e-7,-0.7,0.5,ID_162,A_Test
R_63,1e-7,-0.7,0.5,ID_163,A_Test
R_64,1e-7,-0.7,0.5,ID_164,A_Test
R_65,1e-7,-0.7,0.5,ID_165,A_Test
R_66,1e-7,-0.7,0.5,ID_166,A_Test
R_67,1e-7,-0.7,0.5,ID_167,A_Test
R_68,1e-7,-0.7,0.5,ID_168,A_Test
R_69,1e-7,-0.7,0.5,ID_169,A_Test
R_70,1e-7,-0.7,0.5,ID_170,A_Test
